Name,Business Type,Company Type,Ships To,Mailing Address,City,State,Zip,Phone,Fax,Email,Website,Description,Supply Categories,Slug
Marr Bros.,Allied Service or Supplier,,Pacific Northwest,"Marr Bros., PO Box 39, Monmouth, OR 97361-0039",Monmouth,OR,97361-0039,503-838-1830,503-838-3669,,http://www.marrbrosbark.com/,"A wholesale supplier of high-quality red, dark and fine grind bark, sawdust and compost. We are conveniently located on Highway 99W in Monmouth for our pick-up and retail customers. We also have a wood recycling site and wood boxes for rent for those needing this service.",Bark Products,marr-bros
Martel's Nursery Inc.,Grower,,"Mid-Atlantic, Southeast & Gulf, Southwest, Pacific Northwest, Canada",,,,,503-585-9283,503-585-4802,martelsn@comcast.net,,Specializing in premium Acer palmatum and Cornus kousa chinensis rootstock.,,martels-nursery-inc
Master Nursery Garden Centers,"Nursery, Supplier, Allied Service or Supplier, Garden Center, Other","Production Services & Supplies, Sales, Business Services & Supplies, Garden Center, Landscaping Supplies","Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest, Canada","Master Nursery Garden Centers, 190 S Orchard Ave., Ste. B-230, Vacaville, CA 95688",Vacaville,CA,95688,707-359-2700,707-359-2799,info@masternursery.com,https://www.masternursery.com,"Master Nursery Garden Centers (MNGC) is a multi-million-dollar, member-owned national co-operative for independent retail garden centers, with over 585 members, vendors, and strategic partners. Members of the co-op receive generous discounts, volume rebates and extended dating programs from 140 premium vendors, access to exclusive private label products, marketing support, training and networking opportunities.",Co-operative of Independent Retail Garden Centers,master-nursery-garden-centers
Material Flow,Allied Service or Supplier,,,"Material Flow, PO Box 550, Donald, OR 97020",Donald,OR,97020,503-678-2401,,jordan@materialflow.com,https://www.materialflow.com,,"Cantilever Racks; Carts, Nursery and Greenhouse; Casters; Dock Equipment; Drum equipment; Flow Rack Systems; Gravity Conveyors; Hand trucks; In Plant Offices; Lockers; Mezzanines; Pallet Jacks; PALLET RACK; Plastic Bins and Tote Boxes; Platform Carts; Portable Stack Racks; Powered Conveyors; RACKS, Display and Transportation; Scissor Lifts; Self-dumping hoppers; Shelving; Strip Doors; Utility Carts; Wire Containers; Yard Ramps",material-flow
Mazama Farms,"Nursery, Greenhouse, Arborist/Tree Service",,,"Mazama Farms, 35095 S Chiloquin Rd, Chiloquin, OR 97624",Chiloquin,OR,97624,541-992-0461,,Info@mazamafarms.net,,,,mazama-farms
McHutchison Inc.,Re-Wholesaler/Broker,,"Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest, Canada","McHutchison Inc., 40 Shuman Blvd. Ste. 120, Naperville, IL 60563",Naperville,IL,60563,541-905-6766,,kmcvicker@mchutchison.com,http://www.mchutchison.com/,"Since 1902, we have been providing our customers with the finest in green goods. We deliver high-quality nursery stock from the finest growers in Oregon to your nursery, garden center or job site. The McHutchison representative in your region is eager to help you fulfill your horticultural needs.",,mchutchison-inc
McKenzie River Nursery,Grower,,Pacific Northwest,"McKenzie River Nursery, 38698 Camp Creek Rd., Springfield, OR 97478-8666",Springfield,OR,97478-8666,541-747-2767,541-988-5828,tamaragreg@msn.com,,"A greenhouse wholesale/retail operation growing and selling mostly annuals, perennials and hanging baskets.",,mckenzie-river-nursery
McKinnon Nursery,Grower,,"Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest, Canada",,,,,503-792-3170,503-792-3542,mckinnonnurs@xpressdata.net,http://www.mckinnonnursery.com/,"Wholesale grower of quality nursery stock including a variety of topiary and sculptured plants. Please check our website, mckinnonnursery.com,  where we update our availability list each week for your convenience.",,mckinnon-nursery
McMinnville Gas Inc.,Allied Service or Supplier,,Pacific Northwest,"McMinnville Gas Inc., 1384 NE Highway 99W, McMinnville, OR 97224",McMinnville,OR,97224,503-472-7200,503-474-9033,ryan@mcminnvillegas.com,http://www.mcminnvillegas.com/,"We are a propane supplier in the Willamette Valley providing not just fuel to greenhouses, but experienced service on all propane equipment.  We have been servicing customers in Multnomah, Marion, Polk, Washington, Yamhill, Clackamas and Columbia counties since 1946.",PROPANE GAS,mcminnville-gas-inc
McPheeters Turf Inc.,"Nursery, Grower",,,"McPheeters Turf Inc., 2019 SW Park Ln., Culver, OR 97734-9663",Culver,OR,97734-9663,541-546-9081,541-546-2953,mcturf@cbbmail.com,http://www.mcpheetersturf.com/,"Turf, trees and shrubs.",,mcpheeters-turf-inc
"Means Nursery, Inc.",Grower,Plants,,"Means Nursery, Inc., 33668 Johnson's Landing Road, Scappoose, OR 97056",Scappoose,OR,97056,503-543-7405,,sgreisen@meansnursery.com,Http://www.meansnursery.com,,,means-nursery-inc
"Meliora, Inc.",Grower,,,"Meliora, Inc., 21350 Riverside Dr. NE, St. Paul, OR 97137",St. Paul,OR,97137,503-932-8974,,john@wwfarms.org,,,,meliora-inc
Meridian Young Plants (a division of JRT Nurseries Inc.),"Grower, Greenhouse",Plants,"Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest, Canada",,,,,360-224-6363,800-301-8847,bill@myplants.sale,http://meridianyoungplants.com/,"Meridian Young Plants, located in Lynden, WA boasts 70+
acres of greenhouse space, 250+ acres of container growing & two state of
the art tissue culture labs that produce finished product & liners of conifers,
ferns, grasses, perennials, small fruits & woody ornamentals.",,meridian-young-plants-a-division-of
Meyer Nursery & Orchards Inc.,"Nursery, Grower",,"Upper Midwest, Rocky Mountain, Southwest, Pacific Northwest, Canada",,,,,503-364-3076,503-364-3407,sales@meyernursery.com,http://www.meyernursery.com/,"We are growers of shade, flowering and fruit trees and small fruits. Our product line includes finished shade trees; fruit trees; grape and gooseberry plants. Our caliper-sized Specimen shade and fruit trees are grown in fabric in-ground Root Control® bags and above-ground Smart Pots® for smaller ball sizes and year-round digging and shipping. We also offer virus-certified Grape plants, both bare root and #1 containers.",,meyer-nursery-orchards-inc
Microplant Nurseries Inc.,Grower,Plants,"Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest, Canada","Microplant Nurseries Inc., PO Box 237, Gervais, OR 97026-0237",Gervais,OR,97026-0237,503-792-3696,503-792-3650,info@microplantnurseries.com,http://www.microplantnurseries.com/,"Since 1980 Microplant Nurseries, Inc. has had one purpose: Producing top quality plants for the wholesale nursery industry through the process of micropropagation. Our plant list includes trees, ornamental shrubs, small fruits, perennials and more. We are always adding exciting new plants. We ship throughout the U.S. and Canada. Please visitwww.microplantnurseries.comfor more information.",TISSUE CULTURE,microplant-nurseries-inc
Miles Nursery,Grower,Plants,"Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest, Canada","Miles Nursery, PO Box 760, Canby, OR 97013-0760",Canby,OR,97013-0760,503-266-1506,503-263-6172,scottf@milesnursery.com,http://www.milesnursery.com/,Grower of quality plant material. We grow a wide selection of plant material from grafted maples and conifers to deciduous and broadleaf evergreens. Container and B&B selections.,,miles-nursery
Miller Factors,"Nursery, Grower, Landscape Contractor",,Pacific Northwest,"Miller Factors, PO Box 13437, Portland, OR 97213",Portland,OR,97213,503-284-0600,503-284-3162,millerfactors7969@gmail.com,,"Wholesale nursery conveniently located near the Portland airport, supplying spring and fall annuals and shrubs to local landscapers and metro-area retail outlets.",,miller-factors
Miller's Manor Gardens,"Nursery, Grower",,,"Miller's Manor Gardens, 27452 S Gribble Rd., Canby, OR 97013",Canby,OR,97013,503-277-3327,,rogermiller@canby.com,http://www.millermanorgardens,"Small family operation specializing in hardy fuchsia, perennials, unusual shrubs, and dwarf conifers.",,millers-manor-gardens
Moana Nursery,Grower,,"Rocky Mountain, Southwest, Pacific Northwest","Moana Nursery, 24395 S Barlow Rd., Canby, OR 97013-9106",Canby,OR,97013-9106,503-266-8170,503-266-8035,canby@moananursery.com,http://www.moananursery.com/,"Wholesale grower of specimen shade trees, container trees, conifers, ornamental shrubs, ground covers, grasses and perennials. Serving retail garden centers, landscapers and re-wholesalers. Cold-hardy stock.",,moana-nursery
Monrovia,Grower,Plants,"Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest, Canada","Monrovia, 13455 SE Lafayette Hwy., Dayton, OR 97114-8441",Dayton,OR,97114-8441,800-666-9321,503-868-7352,consumercare@monrovia.com,http://www.monrovia.com/,"Monrovia is one of North America's leading consumer plant brands. It was established to enhance the beauty and value of gardens and landscapes across North America. Monrovia collaborates with plant breeders from around the world to introduce exclusive plants. It cultivates plant varieties where they grow best, so it has four nurseries located in Visalia, California; Dayton, Oregon; Cairo, Georgia; and Granby, Connecticut. The Monrovia brand can be found online and nationwide at re-wholesalers, leading independent garden centers, and Lowe's Home Improvement Centers. For more information, visitwww.monrovia.com.",,monrovia
Mossify,"Supplier, Other","Production Services & Supplies, Landscaping Supplies","Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest, Canada, Asia , Europe","Mossify, 90 Nolan Court, Unit 21, Markham, ON L3R 4L9",,,,,,lucas@mossify.ca,https://www.mossify.ca/,"Experience the award-winning essence of Mossify, the leading brand in indoor gardening. Trusted by horticulture professionals and a presence in over 1,500 retail locations, we are the recommended choice for botanical enthusiasts. Step into our showroom and be captivated by our curated selection of premium indoor gardening accessories. From stunning Bendable Moss Poles™ to cutting-edge grow lights and mistr's, our innovative products are designed to elevate your indoor space into a lush sanctuary. Discover why Mossify is the preferred brand for horticulture professionals and let us inspire you to create an indoor garden masterpiece. Featured on Dragons Den, One Tree Planted for Every Order.",,mossify
Motz & Son Nursery,Grower,,"Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest, Canada","Motz & Son Nursery, 11445 NW Skyline Blvd., Portland, OR 97231-2602",Portland,OR,97231-2602,503-645-1342,503-645-6856,sales@motzandson.com,,,,motz-son-nursery
Mountain Shadow Nursery LLC,Grower,Plants,"Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest, Canada",,,,,360-459-4116,,bryan@mtshadow.com,http://www.mtshadow.com/,"Wholesale producer of tissue-cultured select ornamental trees, shrubs, vines, agricultural crops, forestry trees, perennials and other choice plants.Custom micropropagation for your special plants.With years of experience, we know how to propagate a wide variety of plants, from herbaceous annuals and perennials to edible plants, flowering shrubs and deciduous or forest trees.

We make it our business to help your business. If you have a plant that you need thousands or even millions more produced, contact us.

Let our tissue culture lab help grow your business today.",PROPAGATION,mountain-shadow-nursery-llc
Mprise Agriware,Allied Service or Supplier,Business Services & Supplies,,,,,,720-792-0324,,info@mprise-agriware.com,https://www.mprise-agriware.com/,"Mprise Agriware | Modern ERP & CRM for Large-scale Growers.Finances, sales, production, inventory, shipping, and more.Trusted by over 250+ greenhouse operationsOrnamentals, plugs and liners, trees, shrubs, seeds, and morePowered by Microsoft Dynamics ERP & CRMVisitwww.mprise-agriware.comfor more",Bar Code Printing (Tags and Labels); Computer Software; Computer Software and Consulting; Credit Card Processing / Financial Services; Inventory Management Software,mprise-agriware
Mt. Jefferson Farms,"Grower, Greenhouse",,Pacific Northwest,"Mt. Jefferson Farms, PO Box 12708, Salem, OR 97309-0708",Salem,OR,97309-0708,503-363-0467,503-581-0567,sally@mtjeffersonfarms.com,,,,mt-jefferson-farms
Munn's Nursery Inc.,"Grower, Greenhouse",,"Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest, Canada","Munn's Nursery Inc., 9445 72nd Ave. NE, Brooks, OR 97305-9754",Brooks,OR,97305-9754,503-792-4187,503-792-4188,carl@munnsnursery.com,http://www.munnsnursery.com/,"Specializing in Japanese maples since 1975. B&B, bareroot and containers. Retail to specimen sizes.",,munns-nursery-inc
Mycorrhizal Applications,Supplier,"Production Services & Supplies, Landscaping Supplies","Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest, Canada, Asia , Europe","Mycorrhizal Applications, 710 NW E St., Grants Pass, OR 97526",Grants Pass,OR,97526,541-476-3985,541-476-1581,Katie.Gustafson@mycorrhizae.com,http://www.mycorrhizae.com,"Mycorrhizal Applications is one of the world’s leading suppliers of mycorrhizal inoculant products. Mycorrhizal Applications researches, produces, and markets mycorrhizal fungi, which accelerate plant vigor by greatly increasing the surface-absorbing area of roots, producing a healthier root system. These specialized fungi colonize plant roots to create a symbiotic root-and-mycelial network within the surrounding soils, increasing efficiency in nutrient and water absorption to optimize plant health and vigor. Mycorrhizal Applications' MycoApply® line of mycorrhizal inoculants is utilized by landscapers, farmers, forest nurseries, restoration and erosion control specialists, greenhouses, soil media manufacturers, and professional horticulturalists to maximize plant success and improve return on investment. Mycorrhizal Applications' retail line of biological plant solutions is utilized by home gardening enthusiasts and hobby farmers of both edible and ornamental plants. Mycorrhizal Applications is a wholly-owned subsidiary of Valent BioSciences LLC.More information is available atmycorrhizae.com.","Chemicals (Insecticides, Herbicides, Fungicides); DISEASE CONTROL; FUNGICIDE and BACTERICIDE (also see CHEMICALS); INSECTICIDE; Mycorrhizae, Mycorrhizal (Soil Amendments); Natural Bio-Organic Soil Amendments; NATURAL PEST CONTROL; Organic Fungicide; ORGANIC GARDEN PRODUCTS; Organic Insecticides / Chemicals; PESTICIDE; Plant Growth Enhancer (Organic); PLANT GROWTH REGULATORS (PGRs); PROPAGATION SUPPLIES; RETAIL NURSERIES and SUPPLIES; ROOTING COMPOUNDS; SOIL AMENDMENTS",mycorrhizal-applications
N & M Nursery,"Grower, Greenhouse",,Pacific Northwest,"N & M Nursery, 11702 Feller Rd. NE, Hubbard, OR 97032",Hubbard,OR,97032,503-981-9060,503-981-2143,ssulli3101@wbcable.net,,"Herbs, tropical plants, specialty perennials, baskets and mixed pots.",,n-m-nursery
NNBA,Allied Service or Supplier,Business Services & Supplies,,"NNBA, PO Box 288, Welches, OR 97067",Welches,OR,97067,503-622-1260,503-622-1284,crystal@nnba.info,http://www.nnba.info/,"Northwest Nursery Buyers Association is a member owned cooperative located in the Pacific Northwest. It represents independent retail nurseries and garden centers in Oregon, Washington, Idaho, Montana, and N. California.  The cooperative assists members by coordinating group purchasing, providing central billing functions and providing educational opportunities for its member retailers.",Purchasing Cooperative,nnba
Nate & Son Nursery,Grower,,,"Nate & Son Nursery, 28740 SE Lusted Rd., Gresham, OR 97080-8977",Gresham,OR,97080-8977,971-322-4502,503-663-1934,natesnursery@outlook.com,,"We are a grower of ornamental nursery stock. We sell maple, birch, boxwood, cedar, dogwood, tri-color and weeping purple beech, juniper, spruce, Vanderwolf pine, otto luyken, weeping sequoia, stewarti pseudocamellia, strax japonica and emerald green thuja.",,nate-son-nursery
Native Plantscapes NW LLC,"Nursery, Grower, Landscape Contractor, Landscape Designer","Plants, Commercial Arbor & Landscape Services, Landscape Professionals",Pacific Northwest,"Native Plantscapes NW LLC, 1982 NE 25th Ave., Suite 9, Hillsboro, OR 97124",Hillsboro,OR,97124,971-997-1842,503-681-9769,sales@nativeplantscapesnw.com,http://www.np-nw.com/nursery,,,native-plantscapes-nw-llc
Native Roots LLC,"Nursery, Supplier, Grower, Greenhouse","Plants, Production Services & Supplies, Sales, Specialty Nurseries & U-Cut Christmas Trees","Rocky Mountain, Southwest, Pacific Northwest",,,,,208-944-2717,,steven@native-roots.net,http://www.native-roots.net,Native Roots LLC is a line of brand name native plants selected and worked on for predictability in residential and commercial landscapes.,,native-roots-llc
Nelson Irrigation Corporation,Allied Service or Supplier,"Equipment Sales, Leasing, Rental & Repair, Production Services & Supplies","Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest, Canada, Asia , Europe","Nelson Irrigation Corporation, 848 Airport Rd., Walla Walla, WA 99362-2271",Walla Walla,WA,99362-2271,509-525-7660,509-525-7907,steve.mccoon@nelsonirrigation.com,http://www.nelsonirrigation.com/,"Manufacturer of quality sprinklers for nurseries, greenhouses and agriculture.",,nelson-irrigation-corporation
New Christie Ventures,Allied Service or Supplier,Business Services & Supplies,"Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest, Canada",,,,,909-816-5363,203-720-9489,bob.nichols@hiplabels.com,https://ncvpots.com/,"New Christie is a U.S. manufacturer of containers from Trade #1 up to to #15.  We specialize in high quality injection molded pots in black, long lasting colors and with long lasting high quality printing. We can print simple one-color art to full six-color graphics. The pots are durable and able to handle the rigors of weather as well as container stacking. We manufacture pots for most of the U.S. branded programs and custom produce containers for nurseries and greenhouses in the U.S. and Canada.",Greenhouse Containers; Nursery Containers; Plastic Containers,new-christie-ventures
"Nexterra, Inc.",Allied Service or Supplier,,Pacific Northwest,"Nexterra, Inc., 900 60th Ave NE, Salem, OR 97317",Salem,OR,97317,503-932-4805,,joe@nexterrainc.com,http://nexterrainc.com,,"RECYCLING, Nursery Stock",nexterra-inc
Noble Mountain Tree Farm,Grower,Specialty Nurseries & U-Cut Christmas Trees,,"Noble Mountain Tree Farm, 5115 Bethel Heights Rd NW, Salem, OR 97304",Salem,OR,97304,503-364-2383,503-364-2906,SamanthaR@NobleMountain.com,https://noblemountain.com/,,,noble-mountain-tree-farm
Noname Nursery,"Nursery, Grower, Garden Center","Plants, Garden Center, Internet and Catalog Sales",Pacific Northwest,,,,,503-724-8384,,robb@nonamenursery.com,http://www.nonamenursery.com,"Wholesale nursery specializing in perennials, ginkgoes, and grafted maples.",,noname-nursery
North American Plants Inc.,"Nursery, Grower",Plants,"Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest, Canada, Asia , Europe",,,,,503-474-1852,503-474-0872,orders@naplants.com,http://www.naplants.com/,"We are a wholesale propagator of tissue culture liners of shade trees, shrubs, perennials, hazelnuts, fruit tree rootstocks, blackberries, raspberries, blueberries and figs.  All material is grown to order.",,north-american-plants-inc
Northern Garden Supply,"Supplier, Greenhouse",Production Services & Supplies,"Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest, Canada","Northern Garden Supply, 142 Cristler Rd., Chehalis, WA 98532",Chehalis,WA,98532,971-281-0428,,info@northerngardensupply.com,www://northerngardensupply.com,"EST. 2017 Northern Garden Supply Manufactures greenhouses and installs. From commercial to consumer. We also stock Polycarbonate, Poly film, Channel lock, fans, and erosions control supplies.","Construction for Greenhouse Systems and Supplies; Cooling Systems for Greenhouses; Coverings; Coverings (Greenhouses); Equipment (Greenhouse Systems and Supplies); EROSION CONTROL; Excavator; FANS (Greenhouse Ventilation Equipment); Greenhouse Containers; GREENHOUSE DESIGN; Greenhouse Manufacturing; Greenhouse Supplies; GREENHOUSE SYSTEMS and SUPPLIES; Greenhouses; Heating Systems for Greenhouses; HOBBY GREENHOUSES; LANDSCAPE FABRIC; NURSERY and GREENHOUSE MECHANIZATION; Poly and Fabric Fasteners for Greenhouses; Polycarbonate Coverings; SHADE CLOTH; SHADE STRUCTURES; STAPLES, NAILS and WIRE; Twin Wall Polyethylene; Twin Wall Polyethylene Coverings",northern-garden-supply
Northland Express Transport,"Supplier, Allied Service or Supplier",Transportation Logistics,"Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest, Canada",,,,,800-748-0550,,jhill@northlandexp.com,http://www.northlandexpresstransport.com/,Transportation broker specializing in hauling nursery stock.,Intermodal Transportation / Logistics; TRANSPORTATION and LOGISTICS,northland-express-transport
"Northwest Shade Trees, a division of J. Frank Schmidt & Son Co",Grower,,"Rocky Mountain, Southwest, Pacific Northwest, Canada","Northwest Shade Trees, a division of J. Frank Schmidt & Son Co, 7737 NE 54th Ave., Salem, OR 97305-9624",Salem,OR,97305-9624,503-463-1700,,nwstsales@jfschmidt.com,http://www.shadetrees.com/,Wholesale grower of B&B specimen shade and flowering trees and conifers.,,northwest-shade-trees-a-division-of
Northwoods Nursery Inc.,Grower,,"Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest, Canada, Asia , Europe","Northwoods Nursery Inc., 28696 S Cramer Rd., Molalla, OR 97038-8576",Molalla,OR,97038-8576,503-651-3737,503-651-3882,sales@northwoodsnursery.com,,"Northwoods Nursery offers a wide selection of hardy, disease-resistant, fruiting plants, including many superior international selections. Included are columnar apples, kiwis, figs, olives, persimmons, sea berry, goji and more. Located 40 minutes south of Portland, we deliver to Oregon and Washington and ship to all U.S. and international destinations.",,northwoods-nursery-inc
"Novel Ag, Inc.",Other,,,"Novel Ag, Inc., 17301 River Road NE, St. Paul, OR 97137",St. Paul,OR,97137,,,sydney.novelaginc@gmail.com,,,,novel-ag-inc
Nufarm Americas,Allied Service or Supplier,,,"Nufarm Americas, 11901 S Austin Ave., Alsip, IL 60803",Alsip,IL,60803,630-601-0122,,todd.birchler@nufarm.com,http://www.nufarm.com/usturf,Nufarm is a leading supplier of plant protection products for the professional turf and ornamental markets.,"Chemicals (Insecticides, Herbicides, Fungicides)",nufarm-americas
Nursery Solutions,Other,,,"Nursery Solutions, 13552 Arndt Rd. NE, Aurora, OR 97002",Aurora,OR,97002,503-512-0082,,info@hookstake.com,http://www.hookstake.com,"Nursery Solutions developed, manufactures and sells the HookStake product. A new and improved way to anchor your potted plants and stop them from blowing over.",,nursery-solutions
Nursery Supplies Inc.,Allied Service or Supplier,,"Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest, Canada","Nursery Supplies Inc., 1415 Orchard Dr., Chambersburg, OR 17201",Chambersburg,OR,17201,503-507-2173,714-538-2769,clewis@creogroup.com,http://www.creogroup.com,Manufacturer of plastic nursery containers.,Plastic Containers,nursery-supplies-inc
NurserySource LLC,"Supplier, Allied Service or Supplier, Other",Business Services & Supplies,"Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest",,,,,971-386-8323,503-667-8253,grow@nurserysource.com,https://rediroot.com/,"NurserySource is a product development company focused on developing innovative, result-oriented products that support growers efforts to produce the highest quality plants and trees. NurserySource has been involved in the creation of several innovative product lines including our house brand RediRoot, which brings the benefits of air-pruning to growers everywhere.Connect with us for assistance on customized projects or if you are interested in our heavy duty RediRoot planters that provide 360˚ aeration to produce plants with a well-branched, fibrous root system ready to explode with growth.",Air Pot Containers; Air-Root Pruning Containers; Bamboo Stakes; Containers (also see Pots); Fabric Containers; Fabric Inserts for Containers; GROW BAGS; Growing Systems; Nursery Containers; PLANTERS (also see CONTAINERS); Plastic Containers; Plastic Flats and Trays - Containers; POTS (also see CONTAINERS); Propagation Flats for Greenhouses; PROPAGATION SUPPLIES; PROPAGATION SYSTEMS; Propagation Trays; Root Pruning Containers,nurserysource-llc
OBC Northwest Inc.,Allied Service or Supplier,,,"OBC Northwest Inc., PO Box 759, Canby, OR 97013-0759",Canby,OR,97013-0759,503-266-2021,503-266-6837,obc@obcnw.com,http://www.obcnw.com/,"Providing horticultural supplies to the Pacific Northwest for more than 68 years. Products include greenhouses, shade cloth, containers, burlap squares, wire baskets, a full line of B&B supplies, and Earth Pots.","B&B Carriers; Bamboo Stakes; Basket Liners; Baskets; Bedding Plant Supplies; Benches; Broadcast Spreaders; Budding Supplies; Burlap; Carts, Nursery and Greenhouse; Chemical Dosing Systems; Coir; Container Mixes; Containers (also see Pots); Convection Tubes and Hangers; Cooling Systems for Greenhouses; Coverings; Custom Label Printing (also see Printing); Custom Soil Mixing; Drip Irrigation Systems; ENVIRONMENT CONTROLLERS; ENVIRONMENTAL SCREENS; Erosion Control Netting; FANS (Greenhouse Ventilation Equipment); FERTILIZER (also see CHEMICALS); FERTILIZER APPLICATOR; Fiberglass Stakes; FOG SYSTEMS; FROST BLANKETS; GARDEN CARD HOLDERS; Garden Gloves; GARDEN HOSE and ACCESSORIES; GARDEN MARKERS; GRAFTING SEALANTS; GRAFTING TOOLS; Greenhouse Manufacturing; GREENHOUSE SYSTEMS and SUPPLIES; Greenhouses; GROW BAGS; HANGING BASKETS; Heating Systems for Greenhouses; HEATING SYSTEMS, For Beds and Benches; HOBBY GREENHOUSES; INJECTORS, Fertilizer and Chemical; Irrigation Controllers; IRRIGATION EQUIPMENT (also see SPRINKLERS); LABELS and TAGS (also see PICTURE LABELS); LANDSCAPE FABRIC; MARKING FLAGS, PAINT and TAPE; MONITORING EQUIPMENT (EC, Moisture, pH, Temperature); Moss-Forest, Natural (Dried Compressed Bales); NETTING MATERIAL; NURSERY SQUARES; NURSERY WAGONS; ORGANIC GARDEN PRODUCTS; PAPER, Weatherproof; PEAT MOSS; PERLITE; PLANTING MIXES; Plastic Flats and Trays - Containers; PLUG DISLODGERS; Poly and Fabric Fasteners for Greenhouses; POLY FILM; Polycarbonate Coverings; POTS (also see CONTAINERS); PROPAGATION SUPPLIES; PROTECTIVE and SAFETY ITEMS; Pulp Containers; Root Pouch®; ROOTING COMPOUNDS; SEEDERS, Manual and Automatic; SHADE CLOTH; SHADE STRUCTURES; SIGN HOLDERS, Steel; SOIL AMENDMENTS; Soil Mixes for Greenhouses; SPRAYERS and ACCESSORIES; Sprinklers and Misters; STAPLES, NAILS and WIRE; Thermal Transfer Printers; Tie Tape; Tools; TREE GUARDS, Corrugated Plastic; TREE TIES; TWINE; VERMICULITE; WATERING SUPPLIES; WEED CONTROL DISKS for Containers; WIRE BASKETS (B&B)",obc-northwest-inc
OHP Inc,"Supplier, Allied Service or Supplier","Sales, Business Services & Supplies","Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest, Canada",,,,,503-569-9146,,rboehm@ohp.com,http://www.ohp.com/,"OHP provides high quality pesticide and biopesticide solutions to
the greenhouse and nursery production industry.","Chemicals (Insecticides, Herbicides, Fungicides); DISEASE CONTROL; FUNGICIDE and BACTERICIDE (also see CHEMICALS); Organic Insecticides / Chemicals; PLANT GROWTH REGULATORS (PGRs)",ohp-inc
OSU - North Willamette Research & Extension Center,Educator or Researcher,,,"OSU - North Willamette Research & Extension Center, 15210 NE Miley Rd., Aurora, OR 97002",Aurora,OR,97002,971-801- 0389,,luisa.santamaria@oregonstate.edu,,,,osu-north-willamette-research-exten
Obersinner Nursery Inc.,Grower,Plants,"Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest, Canada","Obersinner Nursery Inc., 7886 N Howell Rd. NE, Silverton, OR 97381-9636",Silverton,OR,97381-9636,503-873-4004,503-873-2507,inquire@obersinnernursery.com,http://www.obersinnernursery.com/,"Wholesale grower of rhododendrons, Japanese maples, grafted conifers, Pieris, Kalmia, Buxus, Daphne, Prunus, Ilex and deciduous azaleas. B&B, pot-in-pot and container-grown.",,obersinner-nursery-inc
Old Toms Wormery,Supplier,,,"Old Toms Wormery, 920 S 7th Street, San Jose, CA 95112",San Jose,CA,95112,408-691-6266,,tom@oldtomswormery.com,http://www.oldtomswormery.com,,,old-toms-wormery
Online Orchards,Grower,,,"Online Orchards, 42701 NW Dierickx Rd, Forest Grove, OR 97119",Forest Grove,OR,97119,503-812-5701,,andrewh@onlineorchards.com,,,,online-orchards
OptiX Technologies,Allied Service or Supplier,,,"OptiX Technologies, 2458 Lee Road 88, Waverly, AL 36879",Waverly,AL,36879,205-266-0093,,bradw@optixtechnologies.com,,,,optix-technologies
